no of vectors,no of procs,itter,error,time
1000,1,1,1.796331849722933,0.06277656555175781
1000,1,2,1.800133662843323,0.055992841720581055
1000,1,3,1.8215796635111725,0.057051897048950195
1000,1,4,1.783923828266316,0.05632328987121582
1000,1,5,1.7942561880853551,0.055727243423461914
1000,2,1,1.8082938476399826,0.49268031120300293
1000,2,2,1.7781447035475642,0.039515018463134766
1000,2,3,1.8175219021547464,0.04009747505187988
1000,2,4,1.8008923439592068,0.04018664360046387
1000,2,5,1.7823276484961772,0.03989529609680176
1000,3,1,1.7904338844878305,0.5142624378204346
1000,3,2,1.778459054629834,0.03702211380004883
1000,3,3,1.788906811316462,0.03509020805358887
1000,3,4,1.788861701944403,0.0354008674621582
1000,3,5,1.778858876647993,0.03534889221191406
1000,4,1,1.7646533018055077,0.48333287239074707
1000,4,2,1.7809634085960924,0.03291058540344238
1000,4,3,1.7962171156281164,0.032568931579589844
1000,4,4,1.7895401978917962,0.032377004623413086
1000,4,5,1.7669245973903407,0.06029224395751953
1000,5,1,1.7528963329832807,0.4885263442993164
1000,5,2,1.793526279136883,0.03892016410827637
1000,5,3,1.8159729492836538,0.032967567443847656
1000,5,4,1.8028481648100683,0.04073143005371094
1000,5,5,1.786887939664803,0.03315925598144531
1000,6,1,1.7620222810303614,0.487729549407959
1000,6,2,1.7499620000638072,0.031172752380371094
1000,6,3,1.7872994030805425,0.038552284240722656
1000,6,4,1.7766814591524474,0.05123591423034668
1000,6,5,1.7663343885482305,0.03793597221374512
1000,7,1,1.8001213317744578,0.46648097038269043
1000,7,2,1.7755631136631196,0.03468966484069824
1000,7,3,1.7806590910968805,0.03664827346801758
1000,7,4,1.7545281610116095,0.03187704086303711
1000,7,5,1.823789239240756,0.03591656684875488
1000,8,1,1.8002271452939258,0.4867222309112549
1000,8,2,1.8018300834691912,0.030458450317382812
1000,8,3,1.7907557497456372,0.03013443946838379
1000,8,4,1.7652817658378361,0.04704856872558594
1000,8,5,1.791878112429935,0.03225135803222656
10000,1,1,1.7866402717264438,0.4423096179962158
10000,1,2,1.7797965618766323,0.44638776779174805
10000,1,3,1.7767271241693519,0.4496278762817383
10000,1,4,1.7916956196749882,0.4539794921875
10000,1,5,1.7847415358872694,0.4506490230560303
10000,2,1,1.7878294814437516,0.23789501190185547
10000,2,2,1.791822489223724,0.2591855525970459
10000,2,3,1.7825803127349094,0.2370295524597168
10000,2,4,1.7839382388349778,0.238555908203125
10000,2,5,1.7852035772718902,0.24597978591918945
10000,3,1,1.7914385156308146,0.19999003410339355
10000,3,2,1.7766856157863657,0.17600154876708984
10000,3,3,1.7886107417832895,0.1780240535736084
10000,3,4,1.7886560305858474,0.1803603172302246
10000,3,5,1.7815256421150547,0.1764061450958252
10000,4,1,1.7904510349779454,0.15767264366149902
10000,4,2,1.7879574388053359,0.1356980800628662
10000,4,3,1.7859253921178575,0.13868951797485352
10000,4,4,1.78880935680647,0.1427621841430664
10000,4,5,1.7892684408254669,0.1577446460723877
10000,5,1,1.7862438517537824,0.15672731399536133
10000,5,2,1.7911634213658334,0.11753010749816895
10000,5,3,1.7739073712778022,0.12072992324829102
10000,5,4,1.7831327395503729,0.11664652824401855
10000,5,5,1.7878239231705646,0.11593031883239746
10000,6,1,1.7835858239758466,0.11382842063903809
10000,6,2,1.790536742582608,0.11688423156738281
10000,6,3,1.7828422782259576,0.10355758666992188
10000,6,4,1.7841044745496715,0.1380774974822998
10000,6,5,1.7829501248266961,0.10231304168701172
10000,7,1,1.7893833303131579,0.11217498779296875
10000,7,2,1.7854073460914446,0.11890482902526855
10000,7,3,1.7930195329037053,0.1319870948791504
10000,7,4,1.7905922397538125,0.12370061874389648
10000,7,5,1.7907614758485098,0.11791849136352539
10000,8,1,1.7760356016138268,0.09911537170410156
10000,8,2,1.7788403630595957,0.11016392707824707
10000,8,3,1.7898417084045046,0.11001825332641602
10000,8,4,1.7949716314841144,0.10117602348327637
10000,8,5,1.7856941993488693,0.10086584091186523
100000,1,1,1.7847786335672522,4.404109001159668
100000,1,2,1.7825898818673078,4.439934968948364
100000,1,3,1.786145425941252,4.399072170257568
100000,1,4,1.7847020859304303,4.400513410568237
100000,1,5,1.7852693236864996,4.609309196472168
100000,2,1,1.7860633986252363,2.247812271118164
100000,2,2,1.788824607861799,2.3769149780273438
100000,2,3,1.7857101708508394,2.368879556655884
100000,2,4,1.789268246518028,2.3052990436553955
100000,2,5,1.786955147924417,2.2924678325653076
100000,3,1,1.7859690867311988,1.545358657836914
100000,3,2,1.7839816021504162,1.5308935642242432
100000,3,3,1.7840095487378265,1.5591886043548584
100000,3,4,1.787175680972904,1.5722355842590332
