m,n,p,no of procs,itter,error,time
10,10,10,1,1,4.034547,13112
10,10,10,1,2,4.049180,11370
10,10,10,1,3,4.049180,11493
10,10,10,1,4,4.049180,11388
10,10,10,1,5,4.049180,11203
10,10,10,2,1,4.017822,11226
10,10,10,2,2,4.017822,10748
10,10,10,2,3,3.992670,12670
10,10,10,2,4,4.048608,11350
10,10,10,2,5,4.048608,9933
10,10,10,3,1,4.051594,14041
10,10,10,3,2,4.015312,19766
10,10,10,3,3,4.015312,15215
10,10,10,3,4,4.042280,15601
10,10,10,3,5,4.016158,12538
10,10,10,4,1,4.016158,14661
10,10,10,4,2,4.017071,20360
10,10,10,4,3,4.040165,12020
10,10,10,4,4,4.029595,15935
10,10,10,4,5,4.029595,12987
10,10,10,5,1,4.059582,16919
10,10,10,5,2,4.064718,15303
10,10,10,5,3,4.064718,24061
10,10,10,5,4,4.032555,20211
10,10,10,5,5,4.022302,13408
10,10,10,6,1,4.022302,15413
10,10,10,6,2,3.994439,14835
10,10,10,6,3,4.028841,13717
10,10,10,6,4,4.032080,23605
10,10,10,6,5,4.032080,20038
10,10,10,7,1,4.023669,17944
10,10,10,7,2,3.995860,28062
10,10,10,7,3,3.995860,27572
10,10,10,7,4,4.059059,24747
10,10,10,7,5,4.027541,17328
10,10,10,8,1,4.027541,16958
10,10,10,8,2,4.025884,16667
10,10,10,8,3,4.037381,15767
10,10,10,8,4,4.002524,26584
10,10,10,8,5,4.043787,15422
50,50,50,1,1,54.053249,77964
50,50,50,1,2,54.053249,78402
50,50,50,1,3,54.053249,76759
50,50,50,1,4,54.053249,77911
50,50,50,1,5,54.053249,77163
50,50,50,2,1,54.863445,48525
50,50,50,2,2,55.639309,46228
50,50,50,2,3,55.639309,51527
50,50,50,2,4,54.934811,50559
50,50,50,2,5,54.619152,47596
50,50,50,3,1,55.758610,36050
50,50,50,3,2,55.758610,35769
50,50,50,3,3,52.218643,35909
50,50,50,3,4,54.424210,36188
50,50,50,3,5,54.424210,38016
50,50,50,4,1,53.387844,38250
50,50,50,4,2,53.854156,37706
50,50,50,4,3,54.897873,38314
50,50,50,4,4,54.897873,39835
50,50,50,4,5,51.709755,30681
50,50,50,5,1,56.164520,33067
50,50,50,5,2,56.164520,30996
50,50,50,5,3,56.239655,35738
50,50,50,5,4,56.103245,37133
50,50,50,5,5,53.892311,30300
50,50,50,6,1,53.892311,29446
50,50,50,6,2,54.538364,31994
50,50,50,6,3,55.309452,28385
50,50,50,6,4,55.309452,28715
50,50,50,6,5,54.321518,34002
50,50,50,7,1,54.746651,31389
50,50,50,7,2,55.480694,29828
50,50,50,7,3,55.480694,36557
50,50,50,7,4,55.227486,29687
50,50,50,7,5,52.274330,33446
50,50,50,8,1,53.780266,35949
50,50,50,8,2,53.780266,32036
50,50,50,8,3,52.937973,30107
50,50,50,8,4,53.001259,28486
50,50,50,8,5,55.471436,27480
100,100,100,1,1,89.921249,214005
100,100,100,1,2,89.921249,209658
100,100,100,1,3,89.921249,207421
100,100,100,1,4,91.367828,211676
100,100,100,1,5,91.367828,207352
100,100,100,2,1,89.746452,121204
100,100,100,2,2,89.997269,120357
100,100,100,2,3,89.997269,125351
100,100,100,2,4,86.810204,121234
100,100,100,2,5,88.518944,126721
100,100,100,3,1,88.556923,89932
100,100,100,3,2,88.556923,97676
100,100,100,3,3,88.360893,87930
100,100,100,3,4,87.761772,98329
100,100,100,3,5,88.238373,89554
100,100,100,4,1,91.787430,66823
100,100,100,4,2,91.787430,69130
100,100,100,4,3,89.518608,66821
100,100,100,4,4,87.750778,68352
100,100,100,4,5,87.750778,78316
100,100,100,5,1,88.214142,59907
100,100,100,5,2,89.113869,71226
100,100,100,5,3,88.604218,77956
100,100,100,5,4,85.493172,59739
100,100,100,5,5,85.493172,70198
100,100,100,6,1,89.088570,54794
100,100,100,6,2,90.969070,54515
100,100,100,6,3,89.850067,64934
100,100,100,6,4,89.850067,64567
100,100,100,6,5,89.114006,57955
100,100,100,7,1,87.383240,59573
100,100,100,7,2,92.145729,67967
100,100,100,7,3,92.145729,68545
100,100,100,7,4,89.685715,52610
100,100,100,7,5,87.975342,60572
100,100,100,8,1,90.705856,60474
100,100,100,8,2,89.371155,58183
100,100,100,8,3,89.371155,64182
100,100,100,8,4,88.871994,56395
100,100,100,8,5,88.606522,59254
200,200,200,1,1,128.193909,710451
200,200,200,1,2,128.376083,698921
200,200,200,1,3,127.931252,688873
200,200,200,1,4,128.837677,736279
200,200,200,1,5,130.687027,699838
200,200,200,2,1,130.579880,348472
200,200,200,2,2,130.029053,364869
200,200,200,2,3,130.128250,339771
200,200,200,2,4,130.573334,342418
200,200,200,2,5,130.171844,338706
200,200,200,3,1,130.046936,244281
200,200,200,3,2,129.129791,235656
200,200,200,3,3,128.287476,243024
200,200,200,3,4,129.374268,240267
200,200,200,3,5,129.390457,238125
200,200,200,4,1,130.910721,183575
200,200,200,4,2,128.750031,194611
200,200,200,4,3,130.231247,182033
200,200,200,4,4,129.970871,185400
200,200,200,4,5,128.089859,184081
200,200,200,5,1,131.295349,165187
200,200,200,5,2,129.781281,160522
200,200,200,5,3,129.781281,161913
200,200,200,5,4,130.490997,156339
200,200,200,5,5,129.760300,160881
200,200,200,6,1,128.811462,163120
200,200,200,6,2,129.721298,145547
200,200,200,6,3,128.701050,152662
200,200,200,6,4,129.505783,148467
200,200,200,6,5,132.202744,146571
200,200,200,7,1,131.750961,142485
200,200,200,7,2,129.799011,140899
200,200,200,7,3,129.799011,155058
200,200,200,7,4,129.321533,147929
200,200,200,7,5,129.499924,141383
200,200,200,8,1,129.878448,155863
200,200,200,8,2,128.600403,386396
200,200,200,8,3,129.491776,406837
200,200,200,8,4,128.455917,159085
200,200,200,8,5,132.715485,395418
