no of vectors,no of procs,itter,error,time
1000,1,1,0.001552,3553
1000,1,2,0.001552,1559
1000,1,3,0.001552,1987
1000,1,4,0.001552,1594
1000,1,5,0.001552,1612
1000,2,1,0.001607,6888
1000,2,2,0.001624,5646
1000,2,3,0.001624,4570
1000,2,4,0.001518,4723
1000,2,5,0.001596,6558
1000,3,1,0.001593,12586
1000,3,2,0.001598,11365
1000,3,3,0.001560,7989
1000,3,4,0.001560,8122
1000,3,5,0.001554,10445
1000,4,1,0.001587,25261
1000,4,2,0.001587,9521
1000,4,3,0.001596,8495
1000,4,4,0.001606,15549
1000,4,5,0.001606,10702
1000,5,1,0.001608,12015
1000,5,2,0.001640,12284
1000,5,3,0.001640,11190
1000,5,4,0.001589,10390
1000,5,5,0.001638,10554
1000,6,1,0.001607,12407
1000,6,2,0.001599,13433
1000,6,3,0.001584,15492
1000,6,4,0.001584,14901
1000,6,5,0.001626,11153
1000,7,1,0.001571,15005
1000,7,2,0.001571,12090
1000,7,3,0.001635,12678
1000,7,4,0.001647,16115
1000,7,5,0.001647,23874
1000,8,1,0.001593,14071
1000,8,2,0.001583,11355
1000,8,3,0.001618,16254
1000,8,4,0.001545,10322
1000,8,5,0.001545,9657
10000,1,1,0.001592,11451
10000,1,2,0.001587,11263
10000,1,3,0.001587,11585
10000,1,4,0.001587,11404
10000,1,5,0.001587,11493
10000,2,1,0.001586,10212
10000,2,2,0.001586,12594
10000,2,3,0.001602,12377
10000,2,4,0.001592,14048
10000,2,5,0.001592,14451
10000,3,1,0.001602,14180
10000,3,2,0.001606,11038
10000,3,3,0.001606,11328
10000,3,4,0.001606,14005
10000,3,5,0.001597,11333
10000,4,1,0.001589,21581
10000,4,2,0.001589,12895
10000,4,3,0.001597,13108
10000,4,4,0.001597,19114
10000,4,5,0.001604,11615
10000,5,1,0.001586,19816
10000,5,2,0.001576,11874
10000,5,3,0.001576,17378
10000,5,4,0.001594,11592
10000,5,5,0.001582,14346
10000,6,1,0.001603,15067
10000,6,2,0.001607,13313
10000,6,3,0.001594,17319
10000,6,4,0.001594,14718
10000,6,5,0.001613,13043
10000,7,1,0.001591,17102
10000,7,2,0.001608,15727
10000,7,3,0.001608,17856
10000,7,4,0.001599,15274
10000,7,5,0.001593,15407
10000,8,1,0.001591,14378
10000,8,2,0.001591,19441
10000,8,3,0.001601,15910
10000,8,4,0.001591,18622
10000,8,5,0.001585,14907
100000,1,1,0.001596,111512
100000,1,2,0.001596,101376
100000,1,3,0.001596,101229
100000,1,4,0.001600,101144
100000,1,5,0.001600,101289
100000,2,1,0.001603,74559
100000,2,2,0.001603,72551
100000,2,3,0.001593,72946
100000,2,4,0.001601,78877
100000,2,5,0.001598,75405
100000,3,1,0.001597,61623
100000,3,2,0.001601,60869
100000,3,3,0.001598,60424
100000,3,4,0.001596,57778
100000,3,5,0.001596,67269
100000,4,1,0.001596,60100
100000,4,2,0.001597,66124
100000,4,3,0.001596,58626
100000,4,4,0.001596,52416
100000,4,5,0.001593,54207
100000,5,1,0.001593,50041
100000,5,2,0.001599,53664
100000,5,3,0.001599,49103
100000,5,4,0.001600,53025
100000,5,5,0.001596,52436
100000,6,1,0.001600,58599
100000,6,2,0.001599,56766
100000,6,3,0.001599,57409
100000,6,4,0.001595,54787
100000,6,5,0.001599,55480
100000,7,1,0.001603,61346
100000,7,2,0.001603,67379
100000,7,3,0.001600,63786
100000,7,4,0.001597,62467
100000,7,5,0.001602,72423
100000,8,1,0.001603,64706
100000,8,2,0.001597,66618
100000,8,3,0.001596,64640
100000,8,4,0.001596,64818
100000,8,5,0.001594,65568
1000000,1,1,0.001596,1024488
1000000,1,2,0.001598,1029330
1000000,1,3,0.001597,1024494
1000000,1,4,0.001597,1027109
1000000,1,5,0.001597,1027531
1000000,2,1,0.001596,575365
1000000,2,2,0.001597,577829
1000000,2,3,0.001598,584999
1000000,2,4,0.001599,580351
1000000,2,5,0.001597,576077
1000000,3,1,0.001598,451205
1000000,3,2,0.001597,459952
1000000,3,3,0.001597,439034
1000000,3,4,0.001596,439146
1000000,3,5,0.001596,452072
1000000,4,1,0.001599,387519
1000000,4,2,0.001597,397024
1000000,4,3,0.001598,360575
1000000,4,4,0.001597,386534
1000000,4,5,0.001598,384032
1000000,5,1,0.001597,440990
1000000,5,2,0.001597,430655
1000000,5,3,0.001598,428092
1000000,5,4,0.001598,433910
1000000,5,5,0.001597,435662
1000000,6,1,0.001598,480314
1000000,6,2,0.001597,463101
1000000,6,3,0.001596,465767
1000000,6,4,0.001597,462119
1000000,6,5,0.001597,472930
1000000,7,1,0.001597,510413
1000000,7,2,0.001596,502058
1000000,7,3,0.001598,506693
1000000,7,4,0.001598,516118
1000000,7,5,0.001599,515884
1000000,8,1,0.001596,543859
1000000,8,2,0.001597,542775
1000000,8,3,0.001595,550887
1000000,8,4,0.001597,547591
1000000,8,5,0.001598,546659
10000000,1,1,0.001587,10760107
10000000,1,2,0.001586,11116951
10000000,1,3,0.001586,10909364
10000000,1,4,0.001586,11426941
10000000,1,5,0.001586,11149077
10000000,2,1,0.001586,5759531
10000000,2,2,0.001586,5818808
10000000,2,3,0.001587,5957680
10000000,2,4,0.001586,5964655
10000000,2,5,0.001586,5920886
10000000,3,1,0.001586,4273806
10000000,3,2,0.001586,4254917
10000000,3,3,0.001587,4279732
10000000,3,4,0.001587,4336800
10000000,3,5,0.001586,4369860
10000000,4,1,0.001586,3468128
10000000,4,2,0.001586,3525503
10000000,4,3,0.001586,3494711
10000000,4,4,0.001586,3633873
10000000,4,5,0.001586,3618605
10000000,5,1,0.001586,4242413
10000000,5,2,0.001587,4271702
10000000,5,3,0.001586,4184642
10000000,5,4,0.001586,4376183
10000000,5,5,0.001586,4208415
10000000,6,1,0.001586,4874770
10000000,6,2,0.001586,4659441
10000000,6,3,0.001586,4641565
10000000,6,4,0.001586,4798720
10000000,6,5,0.001586,4760347
10000000,7,1,0.001586,5307532
10000000,7,2,0.001587,5020170
10000000,7,3,0.001586,5015893
10000000,7,4,0.001586,4978912
10000000,7,5,0.001586,5048329
10000000,8,1,0.001586,5249980
10000000,8,2,0.001586,22329900
10000000,8,3,0.001586,7325169
10000000,8,4,0.001586,7324775
10000000,8,5,0.001586,7293676
