no of vectors,no of procs,itter,error,time
1000,1,1,0.003204,1654
1000,1,2,0.003204,1584
1000,1,3,0.003154,1622
1000,1,4,0.003154,1638
1000,1,5,0.003154,1615
1000,2,1,0.003154,4626
1000,2,2,0.003310,5953
1000,2,3,0.003193,5018
1000,2,4,0.003193,8016
1000,2,5,0.003286,4578
1000,3,1,0.003124,6505
1000,3,2,0.003124,9740
1000,3,3,0.003206,7017
1000,3,4,0.003237,7177
1000,3,5,0.003237,8363
1000,4,1,0.003111,16521
1000,4,2,0.003211,11497
1000,4,3,0.003211,7702
1000,4,4,0.003173,19793
1000,4,5,0.003173,11048
1000,5,1,0.003069,14826
1000,5,2,0.003041,22138
1000,5,3,0.003041,10730
1000,5,4,0.003203,16598
1000,5,5,0.003238,11096
1000,6,1,0.003148,20164
1000,6,2,0.003215,10920
1000,6,3,0.003188,14798
1000,6,4,0.003088,10116
1000,6,5,0.003088,9423
1000,7,1,0.003211,18163
1000,7,2,0.003081,10860
1000,7,3,0.003081,12481
1000,7,4,0.003203,11535
1000,7,5,0.003227,10595
1000,8,1,0.003299,14213
1000,8,2,0.003299,24706
1000,8,3,0.003224,9931
1000,8,4,0.003096,22084
1000,8,5,0.003064,10719
10000,1,1,0.003192,11950
10000,1,2,0.003192,14635
10000,1,3,0.003192,11741
10000,1,4,0.003192,11625
10000,1,5,0.003192,11733
10000,2,1,0.003154,10133
10000,2,2,0.003192,15152
10000,2,3,0.003192,20296
10000,2,4,0.003148,12590
10000,2,5,0.003163,21006
10000,3,1,0.003150,16250
10000,3,2,0.003141,12558
10000,3,3,0.003168,15366
10000,3,4,0.003168,12297
10000,3,5,0.003129,11810
10000,4,1,0.003161,17086
10000,4,2,0.003161,17234
10000,4,3,0.003153,18889
10000,4,4,0.003163,15635
10000,4,5,0.003163,13888
10000,5,1,0.003174,14708
10000,5,2,0.003179,15345
10000,5,3,0.003179,14945
10000,5,4,0.003137,14872
10000,5,5,0.003120,15419
10000,6,1,0.003129,14524
10000,6,2,0.003168,16614
10000,6,3,0.003165,12904
10000,6,4,0.003149,25562
10000,6,5,0.003149,18461
10000,7,1,0.003182,20853
10000,7,2,0.003167,17930
10000,7,3,0.003167,15208
10000,7,4,0.003186,15204
10000,7,5,0.003172,24751
10000,8,1,0.003154,20666
10000,8,2,0.003162,14902
10000,8,3,0.003151,18997
10000,8,4,0.003121,24191
