no of vectors,no of procs,itter,error,time
1000,1,1,1.779970,1866
1000,1,2,1.779970,1775
1000,1,3,1.779970,1804
1000,1,4,1.779970,1744
1000,1,5,1.779970,1818
1000,2,1,1.775544,5155
1000,2,2,1.783453,5278
1000,2,3,1.783453,6249
1000,2,4,1.819042,5017
1000,2,5,1.764778,6036
1000,3,1,1.792309,7207
1000,3,2,1.760776,8013
1000,3,3,1.801666,6825
1000,3,4,1.801666,12235
1000,3,5,1.789374,8537
1000,4,1,1.800381,17344
1000,4,2,1.800381,10393
1000,4,3,1.782134,11734
1000,4,4,1.777345,8079
1000,4,5,1.777345,10164
1000,5,1,1.770699,14904
1000,5,2,1.802122,16626
1000,5,3,1.802122,15079
1000,5,4,1.773132,10784
1000,5,5,1.801504,17126
1000,6,1,1.779072,9802
1000,6,2,1.792644,13433
1000,6,3,1.818170,9181
1000,6,4,1.777410,9635
1000,6,5,1.777410,9615
1000,7,1,1.799462,17851
1000,7,2,1.767104,11415
1000,7,3,1.729070,17892
1000,7,4,1.729070,11251
1000,7,5,1.759076,15475
1000,8,1,1.792453,13484
1000,8,2,1.794371,19040
1000,8,3,1.770923,11276
1000,8,4,1.770923,10166
1000,8,5,1.783534,11068
10000,1,1,1.785716,14286
10000,1,2,1.785716,14045
10000,1,3,1.785716,14248
10000,1,4,1.786046,14155
10000,1,5,1.786046,14184
10000,2,1,1.786046,14243
10000,2,2,1.788986,17544
10000,2,3,1.787399,17335
10000,2,4,1.787399,12904
10000,2,5,1.782798,17032
10000,3,1,1.778732,23337
10000,3,2,1.786171,14730
10000,3,3,1.778400,18566
10000,3,4,1.778400,16740
10000,3,5,1.769904,17457
10000,4,1,1.777980,16294
10000,4,2,1.777980,18016
10000,4,3,1.788110,18729
10000,4,4,1.783696,16498
10000,4,5,1.783696,18283
10000,5,1,1.782837,21050
10000,5,2,1.783314,17687
10000,5,3,1.793663,16649
10000,5,4,1.793663,16936
10000,5,5,1.781341,17541
10000,6,1,1.793858,16762
10000,6,2,1.793858,19335
10000,6,3,1.790197,15343
10000,6,4,1.789683,15027
10000,6,5,1.785211,14997
10000,7,1,1.786386,22931
10000,7,2,1.787392,17357
10000,7,3,1.784172,16663
10000,7,4,1.794961,17594
10000,7,5,1.794961,18942
10000,8,1,1.785351,17798
10000,8,2,1.784698,18240
10000,8,3,1.781988,16321
10000,8,4,1.777318,17188
10000,8,5,1.777318,16794
100000,1,1,1.785668,139644
100000,1,2,1.787307,137985
100000,1,3,1.787307,139760
100000,1,4,1.787307,137740
100000,1,5,1.784955,149590
100000,2,1,1.784955,99775
100000,2,2,1.783983,98587
100000,2,3,1.783116,89771
100000,2,4,1.783116,94311
100000,2,5,1.786371,95094
100000,3,1,1.783417,92527
100000,3,2,1.785431,89614
100000,3,3,1.785431,92830
100000,3,4,1.786982,92770
100000,3,5,1.785119,94070
100000,4,1,1.785355,115560
100000,4,2,1.785355,109003
100000,4,3,1.784604,113999
100000,4,4,1.785903,113334
100000,4,5,1.784609,112822
100000,5,1,1.784609,98986
100000,5,2,1.781910,97137
100000,5,3,1.784984,97427
100000,5,4,1.787635,94351
100000,5,5,1.787195,92904
100000,6,1,1.786301,96560
100000,6,2,1.786301,93582
100000,6,3,1.785892,94225
100000,6,4,1.787728,98740
100000,6,5,1.787969,96590
100000,7,1,1.785454,93994
100000,7,2,1.785454,96486
100000,7,3,1.786640,89329
100000,7,4,1.783777,89210
100000,7,5,1.786909,96327
100000,8,1,1.785542,96298
100000,8,2,1.785799,89467
100000,8,3,1.786953,87568
100000,8,4,1.785330,95556
100000,8,5,1.784374,88415
1000000,1,1,1.784526,1413622
1000000,1,2,1.786420,1399315
1000000,1,3,1.784287,1402763
1000000,1,4,1.785241,1395973
1000000,1,5,1.785969,1407558
1000000,2,1,1.786615,815627
1000000,2,2,1.785331,800763
1000000,2,3,1.785735,801296
1000000,2,4,1.785432,764582
1000000,2,5,1.786799,828552
1000000,3,1,1.786120,871903
1000000,3,2,1.786810,859143
1000000,3,3,2.058145,847803
1000000,3,4,1.786020,852114
1000000,3,5,1.785663,868258
1000000,4,1,1.785320,1080825
1000000,4,2,1.785582,1081866
1000000,4,3,1.786519,1090381
1000000,4,4,1.786663,1081169
1000000,4,5,1.787386,1080317
1000000,5,1,1.786150,1018155
1000000,5,2,1.786021,1015903
1000000,5,3,1.786350,999569
1000000,5,4,1.785948,1001010
1000000,5,5,1.784776,1025561
1000000,6,1,1.786041,987083
1000000,6,2,1.785677,979128
1000000,6,3,1.785558,991134
1000000,6,4,1.787463,977090
1000000,6,5,1.786047,979218
1000000,7,1,1.786720,998087
1000000,7,2,1.785100,1034617
1000000,7,3,1.786803,995685
1000000,7,4,1.786282,998984
1000000,7,5,1.787057,998792
1000000,8,1,1.784810,985676
1000000,8,2,1.785281,984329
1000000,8,3,2.058785,981692
1000000,8,4,1.785506,991651
1000000,8,5,1.786590,994434
10000000,1,1,1.780789,17366589
10000000,1,2,1.780830,18612857
10000000,1,3,1.809755,17235675
10000000,1,4,1.780690,19524008
10000000,1,5,1.781210,17682079
10000000,2,1,1.809816,11597708
10000000,2,2,1.780719,9345318
10000000,2,3,1.838271,9467250
10000000,2,4,1.780861,9130873
10000000,2,5,1.781062,10285461
10000000,3,1,1.810035,9207196
10000000,3,2,1.781086,9503656
10000000,3,3,1.780858,9177587
10000000,3,4,1.809747,9075204
10000000,3,5,1.780569,9193919
10000000,4,1,1.809891,11002640
10000000,4,2,1.780916,11031278
10000000,4,3,1.780917,10947829
10000000,4,4,1.780828,11036172
10000000,4,5,1.780821,10992275
10000000,5,1,1.780741,10204436
10000000,5,2,1.780398,10283432
10000000,5,3,1.781079,10286520
10000000,5,4,1.809525,10267259
10000000,5,5,1.809678,10333050
10000000,6,1,1.810030,10254335
10000000,6,2,1.780949,10313387
10000000,6,3,1.865434,10254394
10000000,6,4,1.780952,10341345
10000000,6,5,1.780938,10262498
10000000,7,1,1.780690,10262422
10000000,7,2,1.892115,10304096
10000000,7,3,1.810363,10268572
10000000,7,4,1.810036,10275716
10000000,7,5,1.810300,10300312
10000000,8,1,1.810021,10285419
10000000,8,2,1.781107,10369055
10000000,8,3,1.780901,10286594
10000000,8,4,1.781013,10337762
10000000,8,5,1.809621,10295826
