no of vectors,no of procs,itter,error,time
1000,1,1,0.0015977016741753475,0.02955031394958496
1000,1,2,0.001629989021887737,0.026417016983032227
1000,1,3,0.0015979645032498727,0.025892019271850586
1000,1,4,0.001585283310055209,0.026398420333862305
1000,1,5,0.0016272525689711168,0.02578139305114746
1000,2,1,0.0016364848375395686,0.025624752044677734
1000,2,2,0.0015554014191239795,0.02558279037475586
1000,2,3,0.0015897689238750488,0.02587127685546875
1000,2,4,0.0015854755895623467,0.029010534286499023
1000,2,5,0.0015873977019828314,0.025750160217285156
1000,3,1,0.001636678231930768,0.026788711547851562
1000,3,2,0.0016081974594671917,0.026154756546020508
1000,3,3,0.0015798512843296678,0.02645397186279297
1000,3,4,0.0015756015019399803,0.026007413864135742
1000,3,5,0.0015919947745601413,0.02608203887939453
1000,4,1,0.001596516052719769,0.029270410537719727
1000,4,2,0.0015973232148015861,0.0290987491607666
1000,4,3,0.0016217075429050206,0.02639603614807129
1000,4,4,0.0016317575270583596,0.026063203811645508
1000,4,5,0.0015862494169890343,0.026025772094726562
1000,5,1,0.0016345125645218046,0.027425765991210938
1000,5,2,0.0015892402993788533,0.028035640716552734
1000,5,3,0.0016416745153977597,0.048104286193847656
1000,5,4,0.001635430030603782,0.029201507568359375
1000,5,5,0.001625236416491883,0.028233766555786133
1000,6,1,0.0015645604378427247,0.026870250701904297
1000,6,2,0.0016111923487430171,0.029758453369140625
1000,6,3,0.001619916374147755,0.0289766788482666
1000,6,4,0.0015856398973065674,0.026904821395874023
1000,6,5,0.0015978039532903447,0.027217388153076172
1000,7,1,0.0016123783727850863,0.031380653381347656
1000,7,2,0.0016002097114273025,0.02803635597229004
1000,7,3,0.0016154686727718529,0.027744770050048828
1000,7,4,0.0016124212745762432,0.02782583236694336
1000,7,5,0.0015857803956184691,0.030756235122680664
1000,8,1,0.0015935995164243497,0.02710127830505371
1000,8,2,0.0016515245766258908,0.03145003318786621
1000,8,3,0.0015976552829664997,0.03205990791320801
1000,8,4,0.0015948033438128006,0.027193546295166016
1000,8,5,0.0015894606244682076,0.027007579803466797
10000,1,1,0.001591718316767413,0.12941336631774902
10000,1,2,0.0015959194809012718,0.13274240493774414
10000,1,3,0.0015895470941417805,0.1361100673675537
10000,1,4,0.0015995029544503866,0.13674402236938477
10000,1,5,0.0015992275144671186,0.13087725639343262
10000,2,1,0.001599993943099566,0.08315420150756836
10000,2,2,0.0016089791001300628,0.08592438697814941
10000,2,3,0.0015954410605636678,0.07729768753051758
10000,2,4,0.0015977568001961618,0.07933974266052246
10000,2,5,0.0016060053112903682,0.09016227722167969
10000,3,1,0.0015783842170421626,0.06253933906555176
10000,3,2,0.0016002854276461575,0.06401586532592773
10000,3,3,0.001588840631025624,0.07032275199890137
10000,3,4,0.0015985341872133303,0.06526422500610352
10000,3,5,0.0015941916687829275,0.06516289710998535
10000,4,1,0.001602940120139064,0.054708242416381836
10000,4,2,0.0015953780395848063,0.05607271194458008
10000,4,3,0.0015812441137496532,0.056414127349853516
10000,4,4,0.001585724266486721,0.05437302589416504
10000,4,5,0.0015858850967548606,0.05591607093811035
10000,5,1,0.001586460113207681,0.04851651191711426
10000,5,2,0.0015866074388678358,0.05783581733703613
10000,5,3,0.0015999415534735052,0.050626516342163086
10000,5,4,0.001598111771498412,0.049408674240112305
10000,5,5,0.0015990004343348783,0.05828547477722168
10000,6,1,0.001580399991401059,0.04589653015136719
10000,6,2,0.0015976925164598054,0.049150705337524414
10000,6,3,0.0015803626838212354,0.04636383056640625
10000,6,4,0.0016024100932228536,0.05241227149963379
10000,6,5,0.0015913728231547592,0.04595136642456055
10000,7,1,0.001597995603377954,0.04621577262878418
10000,7,2,0.0015841641540631963,0.046506404876708984
10000,7,3,0.0016018441134880979,0.046955108642578125
10000,7,4,0.0016009978983900532,0.04642462730407715
10000,7,5,0.0015865770556765216,0.050858497619628906
10000,8,1,0.001579200914337731,0.05075883865356445
10000,8,2,0.001604136184774112,0.04864668846130371
10000,8,3,0.001612369081598842,0.04866909980773926
10000,8,4,0.0016067614855344438,0.05034208297729492
10000,8,5,0.0015910555251104198,0.04795074462890625
100000,1,1,0.001598774798496141,1.188105821609497
100000,1,2,0.0015979792849541547,1.180431604385376
100000,1,3,0.00159492882383238,1.1562249660491943
100000,1,4,0.001602088964320846,1.1619524955749512
100000,1,5,0.0015951109685179603,1.1773667335510254
100000,2,1,0.001596133196368146,0.6200649738311768
100000,2,2,0.0016041100712598695,0.6268997192382812
100000,2,3,0.001596106243509771,0.633458137512207
100000,2,4,0.0015966572698122748,0.6190719604492188
100000,2,5,0.001598110021132347,0.6216733455657959
100000,3,1,0.0015926021470523515,0.44634127616882324
100000,3,2,0.0016035527005348249,0.4410431385040283
100000,3,3,0.001598901713471005,0.4270439147949219
100000,3,4,0.0016002916632833059,0.4571413993835449
100000,3,5,0.0015929288192414231,0.43305015563964844
100000,4,1,0.0015961743311394983,0.33899617195129395
100000,4,2,0.0015994413533009088,0.34436511993408203
100000,4,3,0.001599692563161994,0.3385775089263916
100000,4,4,0.0015946111426284769,0.3392789363861084
100000,4,5,0.0015987968096864626,0.3553459644317627
100000,5,1,0.0015985272477899424,0.2966299057006836
100000,5,2,0.0016034263459725974,0.294724702835083
100000,5,3,0.001595468592064836,0.3034036159515381
100000,5,4,0.0015937378939901688,0.2951967716217041
100000,5,5,0.0016001677856730943,0.3029475212097168
100000,6,1,0.0015951817428660757,0.27373170852661133
100000,6,2,0.0015998345830820577,0.28496241569519043
100000,6,3,0.0015938030793713762,0.27869343757629395
100000,6,4,0.001597034207282604,0.27082252502441406
100000,6,5,0.00159778488161753,0.2740752696990967
100000,7,1,0.0015956659580386265,0.25374841690063477
100000,7,2,0.0015940158435374572,0.2638697624206543
100000,7,3,0.001594422479498194,0.26525354385375977
100000,7,4,0.0016016449640092446,0.2656979560852051
100000,7,5,0.0015984286449741562,0.27611494064331055
100000,8,1,0.0015972280300782017,0.2634305953979492
100000,8,2,0.0016001578260334685,0.2580375671386719
100000,8,3,0.0015959861198544065,0.26276135444641113
100000,8,4,0.00159724320401571,0.25475144386291504
100000,8,5,0.0015981243365944082,0.2646217346191406
1000000,1,1,0.0015979016440844874,10.851515054702759
1000000,1,2,0.0015973373838395388,10.681182384490967
1000000,1,3,0.0015975230072003304,10.82743239402771
1000000,1,4,0.0015977458493275864,10.419291734695435
1000000,1,5,0.0015982513545914083,10.55045223236084
1000000,2,1,0.0015975157488112342,5.359744071960449
1000000,2,2,0.0015974893308309472,5.433480739593506
1000000,2,3,0.0015977795307615345,5.230030059814453
1000000,2,4,0.0015974153478081198,5.384598016738892
1000000,2,5,0.0015984700709328777,5.370810031890869
1000000,3,1,0.001596701509077242,3.6215131282806396
1000000,3,2,0.0015979681024687093,3.700066328048706
1000000,3,3,0.001597914333433397,3.6109671592712402
1000000,3,4,0.0015973874162608119,3.600346803665161
1000000,3,5,0.0015976426393728622,3.7836501598358154
1000000,4,1,0.0015976569237468013,2.855297803878784
1000000,4,2,0.001596925025251333,2.8365273475646973
1000000,4,3,0.0015982538727208199,2.9112110137939453
1000000,4,4,0.0015987159555748873,2.964369535446167
1000000,4,5,0.001598037570140094,2.883200168609619
1000000,5,1,0.001597440617139107,2.638582229614258
1000000,5,2,0.0015988084923152476,2.821366310119629
1000000,5,3,0.0015962660845527457,2.589909315109253
1000000,5,4,0.0015996666726248326,2.759193181991577
1000000,5,5,0.0015974524204331155,2.642345428466797
1000000,6,1,0.0015973634014187627,2.4691545963287354
1000000,6,2,0.0015985763993910697,2.5355260372161865
1000000,6,3,0.001596879955068638,2.5724995136260986
1000000,6,4,0.0015956599196121576,2.5749452114105225
1000000,6,5,0.0015991732959987365,2.6207480430603027
1000000,7,1,0.0015974673924880754,2.392909049987793
1000000,7,2,0.0015966710367433332,2.4452357292175293
1000000,7,3,0.001598096693775969,2.4142279624938965
1000000,7,4,0.0015981235123698357,2.425055742263794
1000000,7,5,0.0015981729254855581,2.409775972366333
1000000,8,1,0.0015974259061793275,2.2707467079162598
1000000,8,2,0.0015993175289124792,2.2911007404327393
1000000,8,3,0.0015997152146350689,2.279202699661255
1000000,8,4,0.0015982401590826205,2.3023736476898193
1000000,8,5,0.0015968357296256993,2.307185173034668
10000000,1,1,0.0015980804013054318,123.76364350318909
10000000,1,2,0.001597675999233527,116.10562777519226
10000000,1,3,0.0015977118247747597,108.02423357963562
10000000,1,4,0.0015976365417199065,101.99120092391968
10000000,1,5,0.0015980623536885458,102.62429094314575
10000000,2,1,0.001597541775993869,52.51117992401123
10000000,2,2,0.0015972916780122425,53.6631498336792
10000000,2,3,0.0015978274917293534,52.099780559539795
10000000,2,4,0.0015973658180812058,55.5928692817688
10000000,2,5,0.0015977174111563473,54.60702323913574
10000000,3,1,0.0015978054074487049,37.6136257648468
10000000,3,2,0.0015980632604907536,36.76884603500366
10000000,3,3,0.0015978471541786834,36.697149991989136
10000000,3,4,0.001597504460596711,36.090161085128784
10000000,3,5,0.001598255490745347,36.59912443161011
10000000,4,1,0.0015973804184125332,28.03432297706604
10000000,4,2,0.001597529158253959,28.103785276412964
10000000,4,3,0.001597296465811407,27.861870765686035
10000000,4,4,0.0015982735200924473,28.009206533432007
10000000,4,5,0.0015968092038244422,27.515302896499634
10000000,5,1,0.0015980357737755346,25.28941297531128
10000000,5,2,0.0015977098522028015,24.994603633880615
10000000,5,3,0.001598090997702548,25.74884343147278
10000000,5,4,0.0015980289964685793,26.038732767105103
10000000,5,5,0.0015982820925118171,26.48627543449402
10000000,6,1,0.0015981309953255383,24.42556881904602
10000000,6,2,0.0015981872143855415,23.10868549346924
10000000,6,3,0.001597538375622213,23.180163860321045
10000000,6,4,0.0015982896705434976,24.261415243148804
10000000,6,5,0.0015978664086495405,23.569859504699707
